cell_line,drug,true_auc,pred_auc
NCIH929,Doramapimod,0.922981,9.6099e-01
TCCSUP,Nelarabine,0.980524,9.7588e-01
GAMG,AZD8186,0.816926,9.0340e-01
SUPM2,Temozolomide,0.837348,9.6587e-01
MOLT16,LJI308,0.995746,9.7123e-01
OE19,Zoledronate,0.978521,9.7500e-01
BICR22,Docetaxel,0.656589,8.1996e-01
GI1,AZD4547,0.980316,9.5670e-01
TE441T,AGI-6780,0.980449,9.6284e-01
OVCAR4,NU7441,0.941586,9.3560e-01
SKNSH,MK-2206,0.880605,8.8117e-01
K562,Lenalidomide,0.984845,9.7528e-01
MEG01,Gemcitabine,0.556206,5.0940e-01
BICR22,Doramapimod,0.966143,9.6991e-01
L540,Pyridostatin,0.958838,9.1684e-01
RT4,I-BET-762,0.964065,9.1608e-01
DAUDI,5-Fluorouracil,0.847188,8.9854e-01
DND41,Taselisib,0.977044,9.0299e-01
KMS12BM,VX-11e,0.929797,8.5224e-01
NCIH929,OF-1,0.95493,9.1804e-01
DETROIT562,Alisertib,0.577672,8.2493e-01
HARA,Ribociclib,0.969008,9.6792e-01
MHHCALL4,MN-64,0.987973,9.6166e-01
HS746T,Camptothecin,0.916229,8.8188e-01
HT144,RVX-208,0.976105,9.6336e-01
CAL27,Foretinib,0.737346,7.4249e-01
NCIH1963,Dactinomycin,0.984232,8.8874e-01
HUH7,NVP-ADW742,0.833499,9.2354e-01
T84,Nelarabine,0.985109,9.7619e-01
PC3,MK-8776,0.969328,9.5325e-01
CALU6,Methotrexate,0.923139,8.3753e-01
SNU61,PD0325901,0.847173,7.9590e-01
SNU449,Vinblastine,0.899415,8.6148e-01
QGP1,SGC-CBP30,0.959259,9.7371e-01
UACC893,Vismodegib,0.951774,9.6764e-01
NCIH2452,Paclitaxel,0.852192,8.8865e-01
HCC1428,POMHEX,0.672494,8.6051e-01
GA10,Selumetinib,0.980408,9.1484e-01
KMRC20,JQ1,0.877761,8.2360e-01
ST486,Temozolomide,0.982362,9.6771e-01
GCT,PRT062607,0.89345,9.2458e-01
SUPT1,CCT007093,0.98269,9.7228e-01
CHAGOK1,GSK343,0.986061,9.7441e-01
ESS1,MK-1775,0.524482,6.3858e-01
RCC10RGB,Alpelisib,0.943691,9.2060e-01
GB1,GSK1904529A,0.955685,9.6533e-01
JEKO1,KRAS(G12C)Inhibitor-12,0.893927,9.0400e-01
BFTC905,Tamoxifen,0.886131,9.3661e-01
RKO,Cediranib,0.90545,8.4432e-01
HPAFII,ML323,0.933632,9.5148e-01
OVKATE,Daporinad,0.77876,7.9039e-01
HCC44,Avagacestat,0.974674,9.6325e-01
DMS114,PFI3,0.9765,9.7531e-01
HCC1937,Podophyllotoxin-bromide,0.983212,9.0505e-01
CAL33,SGC0946,0.983454,9.7283e-01
NCIH1836,Docetaxel,0.919836,9.1342e-01
OCIAML2,GW441756,0.990085,9.6725e-01
NB1,WIKI4,0.860088,9.3121e-01
NCIH650,Bromosporine,0.976932,9.6566e-01
SKMEL3,Tretinoin,0.962616,9.7129e-01
OCIAML3,Serdemetan,0.849334,8.9832e-01
NCIH1623,LMP744,0.551513,6.9437e-01
SW780,Lapatinib,0.9608,8.9280e-01
HSC4,alpha-lipoic-acid,0.982972,9.7520e-01
FTC133,EHT-1864,0.935546,9.5261e-01
HCC1569,Dactolisib,0.856295,8.5221e-01
NAMALWA,Elephantin,0.73561,8.0606e-01
HOP62,AZD8186,0.908721,9.1865e-01
COLO678,BI-2536,0.915473,9.0260e-01
HCC1419,AZD3759,0.981447,9.6218e-01
BHT101,Romidepsin,0.856231,7.8656e-01
SW1271,Ibrutinib,0.961314,9.4422e-01
TE11,MG-132,0.662643,5.3207e-01
KYSE180,PD173074,0.983215,9.5771e-01
ALLSIL,Crizotinib,0.631769,8.3948e-01
HT115,I-BET-762,0.962677,9.2974e-01
OVCAR4,GNE-317,0.823555,8.0720e-01
SW948,Sinularin,0.974356,9.6648e-01
NCIH28,Buparlisib,0.794182,8.7494e-01
DOHH2,AZD5438,0.621262,6.8832e-01
SUPB15,Afuresertib,0.957304,8.8585e-01
BT20,Pevonedistat,0.864863,8.6115e-01
TE10,Serdemetan,0.955387,9.2730e-01
CORL88,Talazoparib,0.910328,9.4430e-01
HCC70,Dabrafenib,0.992946,9.6649e-01
SW1417,IWP-2,0.949826,9.7167e-01
ONS76,MK-1775,0.680002,7.0025e-01
BCPAP,alpha-lipoic-acid,0.966365,9.7540e-01
TE441T,Foretinib,0.614719,7.5076e-01
HCC1937,GSK2578215A,0.985994,9.7296e-01
PC3,Savolitinib,0.947038,9.7039e-01
GCT,Avagacestat,0.96245,9.7027e-01
GAMG,Ruxolitinib,0.967121,9.6724e-01
CHP212,L-Oxonoreleagnine,0.969226,9.6820e-01
OCIAML2,PD173074,0.884926,9.1187e-01
RERFLCMS,IOX2,0.983224,9.7014e-01
EFO27,KU-55933,0.980552,9.6889e-01
RPMI7951,LY2109761,0.966121,9.6834e-01
PF382,Refametinib,0.876096,7.9563e-01
MDAMB436,Niraparib,0.979353,9.6527e-01
HCC1419,5-Fluorouracil,0.988119,9.6324e-01
SKM1,Dactolisib,0.896923,7.8361e-01
KYSE70,GSK2606414,0.952662,9.6357e-01
DAUDI,AZ960,0.688932,7.6375e-01
SKMEL30,Cediranib,0.81342,8.4697e-01
NCIH82,Osimertinib,0.981875,9.6254e-01
ACHN,Gemcitabine,0.423556,4.2637e-01
NCIH2085,Gemcitabine,0.930051,8.1434e-01
NMCG1,SB590885,0.960051,9.6773e-01
SU8686,AZD5582,0.954078,9.2011e-01
RKN,Selumetinib,0.92233,9.5038e-01
SUDHL4,EPZ5676,0.969672,9.7319e-01
KYSE150,Bleomycin(50uM),0.434567,7.6064e-01
TGBC11TKB,Docetaxel,0.809668,8.3621e-01
SW1990,VE821,0.967925,9.6007e-01
C32,BIBR-1532,0.962694,9.7327e-01
NCIH1435,ML323,0.979606,9.6992e-01
SKMEL24,SGC0946,0.9745,9.7184e-01
HPAFII,Dactolisib,0.809182,8.8459e-01
NCIH460,Olaparib,0.884505,8.9245e-01
A704,Osimertinib,0.954424,9.4197e-01
MONOMAC6,EPZ004777,0.965321,9.7344e-01
VMRCRCW,AZD5363,0.892874,9.2970e-01
ALLSIL,Temozolomide,0.98079,9.6593e-01
SNU61,Cisplatin,0.988323,9.6137e-01
A204,Axitinib,0.540698,9.1055e-01
HCC1395,Cyclophosphamide,0.978117,9.7370e-01
VMRCRCW,Ipatasertib,0.911771,9.4653e-01
HDLM2,Bleomycin(50uM),0.910767,8.1440e-01
HT144,GSK2830371,0.985763,9.7319e-01
IALM,Lapatinib,0.969662,9.4248e-01
GCT,GSK2606414,0.917195,9.4638e-01
NCIH508,Leflunomide,0.904477,8.5764e-01
G361,AZD4547,0.95961,9.2979e-01
A172,MK-8776,0.979431,9.2158e-01
HS578T,Taselisib,0.79257,7.7914e-01
CA46,AZD8186,0.874591,9.0336e-01
JURLMK1,Camptothecin,0.67527,6.5102e-01
PL21,Trametinib,0.47401,5.3288e-01
RPMI7951,BMS-754807,0.802872,8.2334e-01
OVCAR8,Methotrexate,0.46977,8.6733e-01
HCC1428,CCT007093,0.955619,9.7693e-01
ES2,LMP744,0.538918,5.9347e-01
MEWO,Motesanib,0.982295,9.7676e-01
AGS,MN-64,0.96288,9.6051e-01
EFO21,GSK2801,0.955724,9.7258e-01
BXPC3,Ruxolitinib,0.977957,9.6794e-01
AU565,MIM1,0.903074,8.3867e-01
KYSE70,GSK2110183B,0.952601,9.5821e-01
ES2,AZD7762,0.663923,7.1162e-01
SNU387,Talazoparib,0.941238,9.3083e-01
NCIH2087,PD0325901,0.787811,7.4665e-01
BHT101,AZD8055,0.873533,7.6888e-01
CAL27,Docetaxel,0.661894,8.1373e-01
PATU8988T,Ribociclib,0.982281,9.7023e-01
BXPC3,GSK2578215A,0.973493,9.7072e-01
SKM1,AT13148,0.954649,8.9728e-01
EM2,Sepantronium-bromide,0.041679,1.4623e-01
KM12,Dihydrorotenone,0.968265,8.9707e-01
NCIH1092,MK-8776,0.966083,9.5220e-01
NCIH2196,Linsitinib,0.962383,9.5971e-01
CORL311,AZD2014,0.964322,8.7327e-01
NOMO1,Paclitaxel,0.889304,9.0215e-01
MKN1,POMHEX,0.760035,7.7866e-01
HCC1419,Venetoclax,0.986223,9.7670e-01
MDAMB468,GSK591,0.927806,9.4792e-01
NCIH2228,Rucaparib,0.939732,9.6448e-01
C2BBE1,Pevonedistat,0.837997,8.1650e-01
OVCAR4,AZD5363,0.977787,9.2290e-01
PANC0403,Uprosertib,0.916445,8.7567e-01
NCIH28,Vismodegib,0.956621,9.7194e-01
HCC1569,AZD5582,0.789194,8.3194e-01
CHP212,OTX015,0.701537,7.1669e-01
SKMEL1,Vismodegib,0.958871,9.7074e-01
AU565,ABT737,0.904356,9.3401e-01
NCIH460,Lestaurtinib,0.698789,6.3078e-01
OV56,Podophyllotoxin-bromide,0.833391,8.8827e-01
SU8686,MN-64,0.979925,9.7060e-01
2313287,Irinotecan,0.854733,9.0052e-01
CFPAC1,Olaparib,0.946399,9.5300e-01
DBTRG05MG,Methotrexate,0.718902,8.8399e-01
CALU6,Doramapimod,0.965108,9.6837e-01
CAS1,AMG-319,0.963381,9.6677e-01
CHP212,Lestaurtinib,0.636898,6.6730e-01
RCM1,Wnt-C59,0.960266,9.5772e-01
YKG1,Ribociclib,0.984418,9.6978e-01
T84,PD173074,0.985689,9.4760e-01
THP1,SCH772984,0.805367,8.5182e-01
ACHN,Dihydrorotenone,0.916033,8.9653e-01
RKO,AZ6102,0.85952,8.7885e-01
NCIH747,PFI-1,0.840497,9.3260e-01
CAL62,P22077,0.906423,9.5592e-01
OV56,Paclitaxel,0.966382,9.2597e-01
MDAMB453,BMS-345541,0.909195,9.0689e-01
KPNYN,Selumetinib,0.892012,9.2508e-01
EFO27,Niraparib,0.979754,9.5432e-01
RKN,Camptothecin,0.91869,9.2536e-01
RPMI8402,Doramapimod,0.989421,9.6553e-01
G361,Erlotinib,0.954882,9.4033e-01
PC3,Nilotinib,0.979195,9.6412e-01
SIMA,Vorinostat,0.712469,7.5151e-01
BXPC3,Olaparib,0.961322,9.6325e-01
A549,Nilotinib,0.960452,9.1605e-01
RPMI7951,AZD5991,0.973646,8.3329e-01
DU4475,Gemcitabine,0.506165,5.1037e-01
PC3,NVP-ADW742,0.94538,9.2305e-01
DMS53,MK-1775,0.852689,8.3074e-01
CAL51,GW441756,0.956538,9.7084e-01
WM115,GDC0810,0.977233,9.7273e-01
HS746T,AGI-5198,0.935557,9.6176e-01
SKOV3,Fulvestrant,0.976237,9.7498e-01
IGR1,Talazoparib,0.963294,9.1557e-01
SUPT1,AZ960,0.761708,7.1615e-01
NCIH2405,BMS-754807,0.865867,8.8141e-01
MSTO211H,GNE-317,0.825454,8.2713e-01
DAUDI,VE821,0.904356,9.2372e-01
D283MED,Vorinostat,0.6015,6.7904e-01
SNU5,Lestaurtinib,0.75549,7.6339e-01
BHT101,Paclitaxel,0.985476,9.0310e-01
ME1,MN-64,0.98211,9.7476e-01
KYSE70,Docetaxel,0.928084,9.3586e-01
GAMG,I-BET-762,0.967033,8.9809e-01
D283MED,MIRA-1,0.98513,9.6858e-01
HSC4,Vismodegib,0.972676,9.7156e-01
OVKATE,Crizotinib,0.959695,9.5089e-01
HARA,VE-822,0.863373,9.0011e-01
SNU387,GSK2578215A,0.962804,9.7131e-01
HCC33,Uprosertib,0.925621,9.2594e-01
CAKI1,Trametinib,0.830938,6.9930e-01
BEN,YK-4-279,0.875404,8.0075e-01
NCIH1341,Trametinib,0.950229,9.1269e-01
647V,Sinularin,0.978758,9.6880e-01
SW1088,AZ6102,0.842744,8.7383e-01
KMH2,PF-4708671,0.935703,9.5158e-01
BV173,Buparlisib,0.646455,7.5305e-01
HCC2157,Dinaciclib,0.407465,6.3131e-01
NCIH2228,Alisertib,0.797899,8.4806e-01
OVISE,KU-55933,0.986516,9.7169e-01
MONOMAC6,Motesanib,0.979407,9.7350e-01
SKCO1,SCH772984,0.404759,6.7466e-01
SKOV3,SN-38,0.959126,9.0662e-01
BECKER,Bortezomib,0.876302,8.3720e-01
ST486,Irinotecan,0.807078,7.1526e-01
NCIH2228,KRAS(G12C)Inhibitor-12,0.978766,9.3595e-01
BL41,ABT737,0.92549,5.7582e-01
LS180,Cisplatin,0.919024,9.2498e-01
DU4475,AZ960,0.683481,7.2141e-01
HS939T,PLX-4720,0.50114,8.6063e-01
JHH4,ML323,0.844018,9.4773e-01
SKMEL2,WEHI-539,0.989887,9.5665e-01
SNUC1,Bortezomib,0.856909,8.3306e-01
BCPAP,P22077,0.952146,9.5387e-01
SKMEL30,Gemcitabine,0.771652,4.3659e-01
CORL311,ABT737,0.43194,6.0869e-01
LS180,Pictilisib,0.759164,8.3556e-01
PANC0813,Picolinici-acid,0.971988,9.7608e-01
SW1710,MIRA-1,0.976885,9.7391e-01
ECC10,Refametinib,0.820409,7.6380e-01
SKMEL1,AZD8186,0.982813,9.2633e-01
SF295,GW441756,0.983213,9.7107e-01
KMS12BM,KRAS(G12C)Inhibitor-12,0.947,8.8949e-01
DND41,Camptothecin,0.711326,7.5084e-01
JHOS2,GSK591,0.956603,9.2083e-01
TE1,Picolinici-acid,0.967418,9.7436e-01
HOP92,Schweinfurthin-A,0.919745,9.4429e-01
NCIH1876,Serdemetan,0.976078,9.1874e-01
CAL120,PCI-34051,0.965051,9.5887e-01
TGBC11TKB,Obatoclax-Mesylate,0.75688,6.4019e-01
CADOES1,EHT-1864,0.920471,9.5418e-01
RCM1,Schweinfurthin-A,0.90986,9.3654e-01
SF295,IOX2,0.971554,9.7402e-01
RPMI8226,OTX015,0.691129,7.3581e-01
RCHACV,AMG-319,0.65179,9.4998e-01
639V,Picolinici-acid,0.981396,9.7537e-01
42MGBA,AZD7762,0.515038,6.5740e-01
CHP212,Gemcitabine,0.401449,4.4909e-01
HCC15,SGC-CBP30,0.981738,9.7377e-01
ST486,SB216763,0.962707,9.7115e-01
NCIH292,Lestaurtinib,0.707361,6.6590e-01
COLO680N,Schweinfurthin-A,0.98097,9.5748e-01
UACC812,AGI-5198,0.95498,9.6905e-01
CAPAN2,GSK343,0.948601,9.7209e-01
CAOV4,BI-2536,0.942414,7.5116e-01
OVKATE,UMI-77,0.831927,9.3726e-01
OCIAML2,NVP-ADW742,0.982702,7.9281e-01
LCLC103H,Dihydrorotenone,0.955574,9.3043e-01
GA10,XAV939,0.962722,9.5766e-01
FU97,WEHI-539,0.936429,9.4316e-01
MOLM16,OF-1,0.939093,9.3231e-01
VMRCRCW,CCT-018159,0.949997,9.5499e-01
YKG1,Pyridostatin,0.961048,9.3809e-01
NUDUL1,Fulvestrant,0.991079,9.6846e-01
OV7,Methotrexate,0.982502,8.8802e-01
NCIH2196,Gemcitabine,0.738622,4.5451e-01
TGBC11TKB,KU-55933,0.984226,9.6885e-01
ONS76,Avagacestat,0.982619,9.6948e-01
EPLC272H,Dabrafenib,0.969352,9.3815e-01
VCAP,Dacarbazine,0.975172,9.7212e-01
TCCSUP,Savolitinib,0.962394,9.6921e-01
NCIH211,Dasatinib,0.953762,8.5062e-01
C32,Ulixertinib,0.729162,6.3393e-01
NCIH292,Taselisib,0.471887,6.2551e-01
SKMES1,Taselisib,0.856643,8.6656e-01
CHP126,Erlotinib,0.970742,9.7038e-01
LOVO,Tamoxifen,0.881049,9.2364e-01
NCIH211,GW441756,0.982915,9.6997e-01
OVCAR8,LJI308,0.952927,9.7150e-01
G361,Sepantronium-bromide,0.280711,1.4567e-01
SIGM5,SB505124,0.87505,9.1792e-01
OAW42,Erlotinib,0.957365,9.4510e-01
NCIH1105,SCH772984,0.992572,9.5538e-01
SHP77,GSK2606414,0.943379,9.4255e-01
U2OS,I-BRD9,0.970662,9.6123e-01
NCIH211,AZ6102,0.893598,8.9001e-01
OE33,WEHI-539,0.939668,9.3864e-01
COLO792,Entinostat,0.842603,8.5938e-01
COLO800,AZD5582,0.829118,8.3539e-01
NCIH441,Ibrutinib,0.967709,8.9698e-01
OVK18,AGI-5198,0.979821,9.6694e-01
MONOMAC6,SB590885,0.987681,9.5437e-01
HGC27,AZD1332,0.950041,9.0627e-01
NCIH596,Wee1-Inhibitor,0.946165,9.0754e-01
HCC15,AZD8186,0.955952,9.3199e-01
DMS114,SCH772984,0.988142,9.3972e-01
BFTC905,Entinostat,0.912294,7.5682e-01
MEWO,Sapitinib,0.969753,9.6180e-01
ACHN,LCL161,0.975758,9.5132e-01
DOHH2,Methotrexate,0.997917,7.8085e-01
HS578T,GSK2578215A,0.931673,9.6864e-01
SF126,AGI-6780,0.985322,9.6365e-01
BT474,ICL-SIRT078,0.976491,9.5632e-01
DMS273,Alpelisib,0.935184,9.1710e-01
REH,PD0325901,0.98626,9.4982e-01
HSC4,GDC0810,0.987452,9.7364e-01
RKO,Sinularin,0.966749,9.6476e-01
SNU61,AZD5438,0.931268,9.2722e-01
CORL105,Dihydrorotenone,0.878034,8.8488e-01
BHY,Telomerase-Inhibitor-IX,0.750039,7.9928e-01
NCIH2227,JQ1,0.583816,7.9274e-01
TOV21G,Afatinib,0.786595,8.0571e-01
KG1,Dabrafenib,0.923247,9.6259e-01
NCIH929,Podophyllotoxin-bromide,0.74549,6.3630e-01
DAUDI,Cytarabine,0.95834,7.8765e-01
OCIM1,Cisplatin,0.830798,8.5635e-01
HCC1954,Olaparib,0.965489,9.6079e-01
SKOV3,PCI-34051,0.956767,9.6331e-01
NCIH647,WEHI-539,0.859815,9.1483e-01
REH,Docetaxel,0.821369,8.4584e-01
NCIH1341,Docetaxel,0.914595,8.7426e-01
RKN,PFI3,0.966453,9.7605e-01
NCIH1975,GSK343,0.976841,9.6767e-01
SCC15,Pictilisib,0.726629,7.9385e-01
RCC10RGB,Nutlin-3a(-),0.88538,9.5846e-01
SNU1040,GSK2110183B,0.89538,9.5366e-01
HUH1,Dabrafenib,0.972158,9.5947e-01
MHHCALL4,CZC24832,0.9822,9.7083e-01
L363,Osimertinib,0.981979,9.4370e-01
HT1080,P22077,0.947871,9.5596e-01
NCIH2029,SN-38,0.557815,6.7684e-01
SNGM,OF-1,0.926828,9.6019e-01
MDAMB415,EPZ5676,0.991469,9.7607e-01
PSN1,Linsitinib,0.958674,9.4848e-01
JHOS2,WEHI-539,0.854281,9.3168e-01
JVM2,BMS-754807,0.669655,6.4147e-01
A549,GSK2801,0.956521,9.6579e-01
SW1088,AZD5991,0.969238,9.1475e-01
KM12,LY2109761,0.89405,9.6970e-01
MDAMB468,MK-1775,0.748047,6.5616e-01
NCIH508,BX795,0.872697,8.6009e-01
NCIH841,EPZ004777,0.977665,9.7607e-01
NCIH23,Romidepsin,0.893157,8.5067e-01
GRANTA519,Bromosporine,0.976645,9.5384e-01
SKMEL3,CCT007093,0.982322,9.7133e-01
L428,BI-2536,0.652412,6.5449e-01
KYSE150,Navitoclax,0.956238,9.3262e-01
GDM1,Docetaxel,0.818846,7.6509e-01
HCC1187,Obatoclax-Mesylate,0.761505,7.4099e-01
KU1919,Vinorelbine,0.700942,7.0945e-01
T84,KRAS(G12C)Inhibitor-12,0.98381,9.5108e-01
HDLM2,Epirubicin,0.91253,7.6218e-01
DMS79,IWP-2,0.989536,9.7587e-01
L428,Obatoclax-Mesylate,0.619491,7.0991e-01
L363,Oxaliplatin,0.988801,9.2259e-01
DMS53,MK-8776,0.964732,9.5065e-01
COLO668,LMP744,0.449344,7.3102e-01
KATOIII,Cyclophosphamide,0.965601,9.7391e-01
OVCAR8,SGC0946,0.981671,9.7290e-01
GAMG,EPZ5676,0.982823,9.7589e-01
MKN1,LJI308,0.954038,9.7191e-01
MKN1,MN-64,0.959854,9.6740e-01
J82,IWP-2,0.966224,9.7550e-01
EKVX,CCT-018159,0.952304,9.4617e-01
EBC1,SB216763,0.923592,9.6884e-01
BEN,SB505124,0.927063,9.3564e-01
RCC10RGB,IWP-2,0.970622,9.7215e-01
NCIH1105,LJI308,0.989487,9.7457e-01
WM115,Niraparib,0.952964,9.6399e-01
SKMEL5,AZD5153,0.807827,8.2428e-01
HH,Foretinib,0.918425,8.0828e-01
NAMALWA,Sinularin,0.967739,9.6460e-01
CAL33,PFI-1,0.986098,9.5506e-01
NCIH1975,MN-64,0.946259,9.5495e-01
PF382,Acetalax,0.980437,9.5186e-01
CAL12T,Entospletinib,0.934611,9.3452e-01
MDAMB415,Afatinib,0.906145,6.6797e-01
JVM2,UNC0638,0.826202,9.3563e-01
NCIH508,I-BET-762,0.744485,8.6135e-01
KMRC1,Tanespimycin,0.862703,8.4782e-01
NCIH196,Leflunomide,0.947147,9.5094e-01
HCC366,SB216763,0.985015,9.7230e-01
GI1,Alisertib,0.870934,7.9075e-01
LS123,AZD5991,0.971231,9.2805e-01
VMRCRCW,PFI3,0.982612,9.7545e-01
NCIN87,LMP744,0.680422,8.4144e-01
CADOES1,Afatinib,0.870548,9.2943e-01
HSC3,Foretinib,0.746999,7.4384e-01
KALS1,Buparlisib,0.797608,8.7912e-01
BV173,Erlotinib,0.958584,9.6162e-01
PF382,EPZ004777,0.991465,9.7496e-01
SUDHL4,Ribociclib,0.966053,9.6481e-01
CAL27,XAV939,0.965537,9.4489e-01
SNU398,GSK591,0.971218,9.5467e-01
DBTRG05MG,KRAS(G12C)Inhibitor-12,0.965376,9.5025e-01
EM2,Afuresertib,0.95335,8.9466e-01
KPNYN,Sorafenib,0.891847,8.8066e-01
BEN,CHIR-99021,0.985377,9.4930e-01
HT115,Venetoclax,0.988263,9.6938e-01
C2BBE1,Buparlisib,0.658711,8.5400e-01
MONOMAC6,Obatoclax-Mesylate,0.53051,4.7504e-01
OVCAR4,Gemcitabine,0.965856,8.5068e-01
FUOV1,Taselisib,0.801207,8.5608e-01
MM1S,Remodelin,0.774315,8.7903e-01
LOUCY,YK-4-279,0.690074,6.8873e-01
SKNAS,Crizotinib,0.931635,8.9370e-01
MKN1,Motesanib,0.9794,9.7579e-01
NCIH1836,Methotrexate,0.969794,9.1830e-01
HCC1500,Zoledronate,0.989291,9.7675e-01
U118MG,CZC24832,0.978538,9.7357e-01
OVCAR4,SGC0946,0.952432,9.7043e-01
LS411N,Cisplatin,0.974208,9.4361e-01
LAMA84,MG-132,0.392095,3.6610e-01
NCIH838,WIKI4,0.869495,9.2090e-01
NCIH1648,AZD8186,0.780723,7.9803e-01
CAL29,PRT062607,0.967558,9.0927e-01
HUH1,BMS-754807,0.635953,8.6773e-01
PF382,Palbociclib,0.820851,8.8051e-01
K562,Entospletinib,0.972133,9.4165e-01
NCIH1781,Sorafenib,0.913027,9.1769e-01
NCIH2172,Savolitinib,0.985735,9.7517e-01
OV56,AZ6102,0.838383,9.3774e-01
OAW28,LCL161,0.980097,9.7280e-01
LAMA84,Telomerase-Inhibitor-IX,0.661828,5.5689e-01
T24,GDC0810,0.98629,9.7478e-01
CALU3,Oxaliplatin,0.97567,9.5612e-01
J82,Sabutoclax,0.715704,8.0794e-01
NCIH146,OF-1,0.956239,9.6116e-01
NCIH508,Trametinib,0.636435,5.2696e-01
BCPAP,YK-4-279,0.691186,8.1646e-01
LXF289,Elephantin,0.97672,8.8037e-01
MDAMB468,Methotrexate,0.980928,8.0097e-01
AGS,ABT737,0.76978,7.6729e-01
OCILY19,AGI-5198,0.966151,9.6949e-01
COLO684,AZD7762,0.574921,6.4415e-01
SNUC5,SB216763,0.960224,9.6867e-01
SW1990,AZD8055,0.875873,8.5040e-01
OVKATE,BI-2536,0.961482,9.1710e-01
HCC1569,GW441756,0.986116,9.7260e-01
TE15,NU7441,0.933818,8.8422e-01
CAL27,L-Oxonoreleagnine,0.97624,9.7060e-01
HOS,MK-8776,0.955145,9.3518e-01
8MGBA,AZD8186,0.912473,8.9504e-01
BT483,PD173074,0.963664,9.5998e-01
TE6,Sapitinib,0.736212,7.4013e-01
SNGM,Irinotecan,0.962367,8.7971e-01
OAW28,AZD8055,0.907246,8.7847e-01
HCC1428,I-BRD9,0.951964,9.6618e-01
BICR22,Dabrafenib,0.980709,9.5531e-01
HDLM2,ML323,0.963808,9.5930e-01
KMRC20,I-BRD9,0.979592,9.5935e-01
OE19,Podophyllotoxin-bromide,0.762369,8.5089e-01
HS578T,WZ4003,0.961375,9.2874e-01
SUIT2,Cediranib,0.901395,8.9958e-01
CALU6,GSK2578215A,0.96487,9.6918e-01
NCIH1650,PRIMA-1MET,0.952443,9.4437e-01
A2780,Alpelisib,0.725256,8.7040e-01
ES2,Sapitinib,0.984883,9.5081e-01
RCM1,Picolinici-acid,0.973267,9.7484e-01
SKUT1,EPZ004777,0.990601,9.7566e-01
LS180,Bosutinib,0.962203,9.4548e-01
SIMA,AZD5582,0.964747,8.1144e-01
HCC1187,Olaparib,0.975938,9.6285e-01
DAUDI,L-Oxonoreleagnine,0.981193,9.7280e-01
NCIH28,BI-2536,0.929977,7.6515e-01
EFM192A,SGC-CBP30,0.961366,9.6730e-01
RL952,Navitoclax,0.851847,9.1440e-01
NCIH1650,Axitinib,0.969308,9.3866e-01
SCC4,Dabrafenib,0.980631,9.5300e-01
SH4,Ulixertinib,0.585185,4.9534e-01
PANC0327,Cyclophosphamide,0.979442,9.7392e-01
CHP126,Taselisib,0.939113,8.6955e-01
NCIH1437,YK-4-279,0.739216,7.6713e-01
RKN,Sorafenib,0.941717,9.3232e-01
AMO1,Gallibiscoquinazole,0.990115,9.6776e-01
HPAC,GSK2578215A,0.97781,9.6989e-01
EKVX,Cediranib,0.857059,8.7157e-01
TT2609C02,Wnt-C59,0.956918,9.6097e-01
SKMEL3,Cediranib,0.831725,8.7594e-01
SUDHL8,AT13148,0.995588,9.3879e-01
NUGC4,Afatinib,0.716845,8.7540e-01
SKOV3,Talazoparib,0.856561,9.3980e-01
DMS114,Alisertib,0.922646,8.3161e-01
KNS62,AZD6738,0.88452,9.0074e-01
L1236,Camptothecin,0.879603,7.8721e-01
MDAMB231,Sorafenib,0.848414,8.8621e-01
OVK18,CCT-018159,0.892392,9.3527e-01
SNB75,Tamoxifen,0.969392,9.5955e-01
UACC257,Camptothecin,0.952921,9.2375e-01
CCK81,Tamoxifen,0.903445,9.4535e-01
NB4,Axitinib,0.745906,6.7956e-01
NCIH292,MG-132,0.535888,4.6374e-01
SW1710,AZ960,0.775593,8.6812e-01
OCIM1,Lenalidomide,0.979766,9.7369e-01
BV173,SB216763,0.924419,9.6824e-01
OCILY19,Ibrutinib,0.933602,9.6906e-01
SIMA,GNE-317,0.630428,7.6025e-01
TOV21G,GSK1904529A,0.941209,9.5969e-01
UACC257,VX-11e,0.795016,7.2078e-01
LS513,EHT-1864,0.911774,9.2835e-01
G401,Temozolomide,0.982029,9.6328e-01
HCC827,LGK974,0.928802,9.6095e-01
NCIH526,Romidepsin,0.752514,8.3864e-01
OVK18,BIBR-1532,0.937504,9.7249e-01
TT2609C02,Dihydrorotenone,0.962704,9.4135e-01
KMH2,CZC24832,0.974037,9.7519e-01
OE33,Talazoparib,0.830875,9.0163e-01
HCT116,AGI-6780,0.948194,9.5591e-01
PSN1,EHT-1864,0.955135,9.4662e-01
SKMEL5,Picolinici-acid,0.985478,9.7409e-01
NUGC4,GSK2801,0.920996,9.7302e-01
DETROIT562,Elephantin,0.972974,8.6203e-01
NCIH1876,Pyridostatin,0.735871,9.2006e-01
RL,IWP-2,0.987055,9.7194e-01
CW2,Refametinib,0.798711,8.2125e-01
UACC812,Daporinad,0.94024,7.4595e-01
EJM,SN-38,0.96463,9.0596e-01
K562,UMI-77,0.896956,9.1587e-01
SKOV3,CZC24832,0.975323,9.7387e-01
NAMALWA,WZ4003,0.877728,9.3681e-01
HL60,Sepantronium-bromide,0.048513,1.0472e-01
OVK18,KU-55933,0.982483,9.6797e-01
